PathLength Robots Tasks Steps SumTaskLength
10 1 4 17 4
10 1 5 13 5
10 1 1 9 6
10 1 2 6 2
10 1 2 7 2
10 1 2 11 2
10 1 2 7 2
10 1 2 10 2
10 1 2 12 2
10 1 2 4 2
10 1 2 6 2
10 1 2 4 2
10 1 2 7 2
10 1 2 15 2
10 1 2 8 2
10 1 2 5 2
10 1 5 12 5
10 1 5 13 5
10 1 5 17 5
10 1 5 11 5
10 1 5 18 5
10 1 5 10 5
10 1 5 11 5
10 1 5 16 5
10 1 5 16 5
10 1 5 13 5
10 1 5 18 5
10 2 5 5 5
10 2 5 8 5
10 2 5 10 5
10 2 5 10 5
10 2 5 7 5
10 2 5 5 5
10 2 5 6 5
10 2 5 8 5
10 2 5 6 5
10 2 5 6 5
10 2 5 5 5
10 2 5 7 5
10 2 5 9 5
20 2 5 12 5
20 2 5 7 5
20 2 5 15 5
20 2 5 17 5
20 2 5 10 5
20 2 5 16 5
20 2 5 9 5
20 2 5 11 5
10 1 2 23 20
10 1 5 37 31
20 1 5 54 31
10 1 2 15 7
10 1 2 19 17
10 1 2 14 11
10 1 2 37 28
10 1 2 21 17
